번호,화면,상태,우선순위,시나리오,사전조건,수행단계,기대결과,실제 결과
60,6-5,실패,1순위,매도 카드 reason chip 포맷 검증,"매도 카드에 커뮤니티·SNS 정보 판단근거, 표본수 3건",1. 매도 카드 reason chip 확인,"""매도·커뮤니티·SNS 정보·3건"" 형식과 정확히 일치한다","실제 배지는 ""매도·3건 반복""으로 매수와 동일한 형식이며, 스펙의 ""매도·커뮤니티·SNS 정보·3건"" 형식과는 다름(판단근거 메타라벨 미표시)."
61,6-5,실패,1순위,6-5 인터랙션 동작 확인,6-5 진입 상태,"1. ""이 날짜의 카드 전체보기"" 클릭
2. 되돌아와 ""관련 기록 N건→"" 클릭","두 인터랙션 모두 6-4와 동일하게 각각 6-7, 6-8로 정확히 이동한다","""관련 기록 N건 보기"" 링크는 정상 동작(각카드별 해당 3건 목록으로 이동)하지만, ""이 날짜의 카드 전체보기"" CTA 자체가 존재하지 않아 둘 중 하나의 인터렉션만 확인 가능."
62,6-5,통과,1순위,6-5 진입 조건 검증,같은 날짜그룹에 매수1+매도1 카드 존재,1. 경향해석 탭 진입,같은 날짜그룹에 매수1+매도1 카드가 함께 있을 때만 6-5가 노출된다,실측: 같은 날(오늘) 내에 매수 카드 1장+매도 카드 1장이 함께 존재하는 상태에서 정확히 이 화면(두 카드 동시 노출)이 나타남을 확인.
63,6-6,실패,1순위,6-6 헤더/정책안내 동일성,발행 날짜그룹이 2개 이상 누적된 상태,1. 경향해석 탭 진입,헤더/탭바/정책안내박스 문구가 동일하게 노출된다,"헤더/탭바 문구는 6-1~6-5와 동일하게 유지됨. 다만 카드가 하나라도 발행된 이후에는 정책 안내박스 자체가 화면에서 사라짐(#49/#58에서 이미 확인). '정책안내박스 문구가 동일하게 노출된다'는 기대와 달리, 발행 상태에서는 해당 문구가 아예 노출되지 않음."
64,6-6,실패,1순위,날짜그룹 최신순 정렬,서로 다른 날짜의 발행 그룹 3개 이상,1. 6-6에서 날짜그룹 나열 순서 확인,발행일자 내림차순(최신순)으로 세로 나열된다,"'날짜그룹' 컨테이너(테두리+배경으로 묶인 그룹 UI) 자체가 존재하지 않음. 개별 카드 단위로는 발행 최신순 정렬이 적용됨을 #59에서 확인(매도가 나중에 발행되어 상단 노출)했으나, 그룹 단위 정렬이 아닌 개별 카드 단위 정렬이라는 점에서 스펙이 전제하는 구조와 다름."
65,6-6,실패,1순위,그룹당 매수1+매도1 초과 금지,같은 날짜에 매수/매도 카드가 각각 존재하는 그룹,1. 각 날짜그룹의 카드 수 확인,한 그룹 내 카드는 매수1장+매도1장을 초과하지 않는다,"'그룹'이라는 UI 단위 자체가 없어 그룹 기준 카드 수 제한을 검증할 대상이 없음. 실측 결과 각 side(매수/매도)당 최신 카드 1장만 동시 노출되는 구조(#66)라 결과적으로 유사한 상한이 관찰되지만, 이는 '그룹'이 아닌 '슬롯(매수/매도)' 개념에 따른 것으로 스펙의 전제와 다름."
66,6-6,실패,1순위,같은 날짜·같은 side 재발행 시 최신 카드만 노출,같은 날짜·같은 side(예: 매수)에서 카드가 2회 이상 재발행된 상태,"1. 6-6에서 해당 날짜그룹의 카드 내용 확인
2. 6-7(날짜별 카드 전체보기)에서 같은 날짜의 전체 카드 목록과 대조","6-6에는 발행시각이 가장 늦은 카드만 노출되고, 이전 재발행 카드는 메인 화면에 노출되지 않으며 6-7에서만 열람 가능하다","실사: 매수 기록을 3건→6건으로 늘려 재발행을 유도함. 결과, 매수 슬롯에는 카드 1장만 노출되고 배지가 '매수·3건 반복'→'매수·6건 반복'으로, 관련기록 링크도 '3건 보기'→'6건 보기'로 갱신되어 '최신 카드만 노출'이라는 결과 자체는 부합함. 단, 카드 본문 서술(narrative2)은 갱신되지 않고 '계획대로여서 특별한 느낌 없이 3회 반복했다'라는 구버전 문구가 그대로 남아 배지·관련기록 건수(6)와 본문 텍스트(3회) 간 불일치가 발견됨. 또한 '이전 재발행 카드는 6-7에서만 열람 가능'이라는 기대와 달리, 이전 카드(3건 시점) 내용을 열람할 수 있는 화면/경로가 전혀 없음(6-7 화면 자체 부재) — 데이터 손실은 아니나 접근 불가."
67,6-6,보류,2순위,최근 10개 날짜 제한 및 접근 경로 부재 검증,발행 날짜그룹이 11개 이상 누적된 상태,"1. 6-6에서 노출되는 날짜그룹 개수 확인
2. 11번째로 오래된 날짜그룹에 접근할 다른 경로(검색/아카이브 등)가 있는지 전체 탐색","11번째로 오래된 날짜그룹부터 자동으로 목록에서 제외되고, 그 데이터에 접근할 다른 경로가 전혀 없다 (데이터 자체는 삭제되지 않음)",시스템 날짜가 2026-09-07 하루로 고정되어 있어 서로 다른 11개 날짜의 데이터를 생성할 수 없는 환경적 제약으로 실사 검증 불가.
69,6-6,실패,1순위,6-6 각 그룹 인터랙션 동작 확인,날짜그룹 2개 이상 존재,"1. 각 그룹에서 ""이 날짜의 카드 전체보기"" 클릭
2. 각 그룹에서 ""관련 기록 N건→"" 클릭","각 그룹에서 두 인터랙션 모두 정상 동작(6-7, 6-8로 이동)한다",'이 날짜의 카드 전체보기' CTA는 화면에 존재하지 않음(#51 등에서 반복 확인). '관련 기록 N건→' 링크는 정상 동작함을 재확인(클릭 시 관련 기록 화면으로 정확히 이동).
70,6-7,실패,1순위,6-7 상단 헤더 날짜 표시,특정 날짜(예: 2026-08-31)의 카드 전체보기 진입,1. 날짜그룹 CTA를 통해 6-7 진입,"상단 back 버튼 + 타이틀 ""YYYY-MM-DD 발행 카드 전체보기""에 실제 날짜가 정확히 표시된다",6-7에 해당하는 화면(날짜별 카드 전체보기)이 앱에 존재하지 않음. 진입 CTA 자체가 없어 헤더 문구를 확인할 대상 화면이 없음 — 구조 불일치로 검증 불가.
71,6-7,실패,2순위,back 버튼 복귀 경로 검증(양방향),케이스A - 발행 히스토리(6-6)에서 6-7 진입 / 케이스B - 발행 1건·2건(6-4/6-5)에서 6-7 진입,"1. 케이스A로 진입 후 back 클릭
2. 케이스B로 진입 후 back 클릭",각 케이스 모두 진입 전 화면(6-6 또는 6-4/6-5)으로 정확히 복귀한다,6-7 화면 자체가 존재하지 않아 back 복귀 경로를 검증할 대상이 없음 — 구조 불일치로 검증 불가.
72,6-7,실패,2순위,정렬 안내 문구 노출,6-7 진입 상태,1. 상단 정렬 안내 문구 확인,"""발행시간 최신순 정렬"" 문구가 노출된다",6-7 화면 자체가 존재하지 않아 정렬 안내 문구를 확인할 대상이 없음 — 구조 불일치로 검증 불가.
73,6-7,실패,1순위,재발행 카드 전체 노출 검증,같은 날짜·같은 side에서 재발행이 2회 이상 발생한 상태,"1. 6-6에서 해당 날짜그룹의 노출 카드 수 확인
2. 6-7에서 같은 날짜의 카드 목록 전체 확인","해당 날짜에 발행된 모든 카드(매수+매도, 같은 side 재발행 전부 포함)가 6-7에는 전부 노출된다 (6-6에서 숨겨졌던 카드 포함)",6-7 화면이 없어 숨겨진 이전 재발행 카드(#66에서 확인한 3건 시점 매수 카드)를 열람할 방법이 전혀 없음. 데이터 자체는 삭제되지 않지만 접근 경로가 없어 '6-7에서는 전부 노출된다'는 기대와 정면으로 다름.
74,6-7,실패,1순위,카드 정렬 기준 검증,한 날짜에 발행시각이 다른 카드 3장 이상,1. 6-7 카드 리스트의 정렬 순서 확인,발행시각 내림차순으로 정확히 정렬된다,6-7 화면 자체가 존재하지 않아 카드 정렬 기준을 검증할 대상이 없음 — 구조 불일치로 검증 불가.
76,6-7,실패,1순위,메인화면 노출 카드와의 동일성 검증,특정 날짜에 side별 최신 카드가 메인화면(6-6)에 노출 중인 상태,"1. 6-6에서 해당 날짜 카드 내용 캡처
2. 6-7에서 같은 side의 최상단(최신) 카드 내용과 대조",각 side의 최신 카드(리스트 맨 위)가 메인 화면에 노출 중인 카드와 완전히 동일하다,6-7 화면이 없어 메인 화면 카드와 대조할 대상 자체가 없음 — 구조 불일치로 검증 불가.
77,6-7,실패,2순위,카드 스냅샷 고정 검증,"카드가 이미 발행된 상태에서, 그 발행에 연관된 매매 기록이 존재","1. 카드 발행 시점의 narrative1/2·reason chip·관련기록건수 기록
2. 연관된 매매 기록을 수정 또는 삭제
3. 6-7에서 해당 카드 재확인",기록을 수정·삭제해도 카드의 narrative1/2·reason chip·관련기록건수가 변하지 않고 발행 시점 값 그대로 유지된다,"실측 결과, 매수 기록을 3건→6건으로 늘리자 카드의 배지('매수·N건 반복')와 관련기록 건수가 6으로 갱신되어 '발행 시점 값 그대로 유지'라는 기대와 다름(스냅샷이 아니라 재계산됨). 반면 카드 본문 서술(narrative) 텍스트는 갱신되지 않고 '3회 반복했다'로 구버전 그대로 남아 있어, 같은 카드 내에서도 항목별로 스냅샷 고정 여부가 다른 내부 불일치가 발견됨(#66과 동일 실측)."
78,6-7,실패,2순위,6-7 최하단 안내문구 노출,6-7 진입 상태,1. 화면 최하단 안내문구 확인,"""카드 내용은 발행 당시 그대로 보존돼요. 메인 화면(경향해석 탭)에는 매수·매도 슬롯당 최신 카드 1장만 노출돼요."" 문구가 정확히 노출된다",6-7 화면 자체가 없어 해당 안내문구도 존재하지 않음. 참고로 경향해석 메인 피드 최하단에는 이 안내문구 대신 투자자문업 관련 일반 면책 문구만 노출됨(#49 등에서 확인).
79,6-7,통과,1순위,'관련 기록 N건→' 단독 클릭·이동,6-7 진입 상태,"1. 카드 내 다른 영역 클릭 시도
2. '관련 기록 N건→' 링크 클릭",링크만 클릭 가능하며 클릭 시 6-8로 이동한다,"6-7 화면은 없지만 동일 기능을 수행하는 메인 피드 카드에서 카드 본문 클릭은 무반응(#43에서 확인)하고 '관련 기록 N건 보기' 링크만 클릭 가능하며, 클릭 시 관련 기록 화면(6-8 상당)으로 정상 이동함을 재확인."
80,6-8,통과,1순위,6-8 back 버튼 복귀,6-7(또는 6-4/5/6)에서 관련 기록 링크로 6-8 진입한 상태,1. back 버튼 클릭,진입 전 화면으로 정확히 복귀한다,"실측 결과, 관련 기록 화면(6-8 상당, /insights/related)의 '뒤로' 버튼 클릭 시 진입 전 화면(경향해석 탭)으로 정확히 복귀함을 확인. 기록 상세페이지의 back 버튼도 관련 기록 화면으로 정확히 복귀함을 함께 확인."
81,6-8,실패,2순위,6-8 정렬 안내 문구 노출,6-8 진입 상태,1. 상단 정렬 안내 문구 확인,"""기록일시 최신순 정렬"" 문구가 노출된다","관련 기록 화면(6-8 상당) 상단에 '기록일시 최신순 정렬' 같은 정렬 안내 문구가 노출되지 않음(실측 확인, get_page_text로 전체 텍스트 대조)."
82,6-8,실패,1순위,6-8 헤더 구성 확인,6-8 진입 상태,1. 헤더 영역 확인,"""기록"" 라벨 + ""+ 새 기록"" 버튼이 노출된다",헤더에 '기록' 라벨 + '+ 새 기록' 버튼 대신 '‹ 관련 기록' 타이틀과 해당 조합의 배지/서술문이 노출되는 다른 구성임(실측 확인). '+ 새 기록' 버튼은 이 화면에 존재하지 않음.
83,6-8,실패,1순위,기록 카드 기본 정보 노출,관련 기록 2건 이상 존재,1. 기록 카드 목록 확인,각 카드에 종목명/매수·매도 배지/매매일자/수량·매매가가 정확히 노출된다,목록의 각 기록 행에는 종목명/매수배지/일자/가격만 노출되고 수량은 노출되지 않음(실측: '엔비디아·매수·$440.00·09.07'만 표시). 수량은 행을 클릭해 상세페이지로 진입해야만 확인 가능.
84,6-8,실패,1순위,'매매이유' 표기 형식(줄바꿈 규칙),판단근거 소분류 선택값이 대분류 2개 이상에 걸쳐 존재하는 기록,1. 해당 기록 카드의 '매매이유' 영역 확인,"{대분류}·{소분류} 형식으로 나열되고, 대분류가 2개 이상일 때 대분류 1개당 줄바꿈 1회로 구분된다",관련 기록 목록의 개별 기록 행에는 '매매이유'(판단근거 대분류·소분류) 자체가 표기되지 않음. 해당 정보는 화면 상단의 조합 서술문(narrative)에 한 번만 등장하고 개별 기록 행에는 노출되지 않아 줄바꿈 규칙 자체를 검증할 대상이 없음.
85,6-8,실패,1순위,'그때 마음' 표기 형식(줄바꿈 규칙),당시상태 선택값이 2개 이상인 기록,1. 해당 기록 카드의 '그때 마음' 영역 확인,"선택값이 나열되고, 2개 이상일 때 선택값 1개당 줄바꿈 1회로 구분된다",동일 사유로 개별 기록 행에 '그때 마음'(당시상태) 표기가 없음. 상세페이지에서만 '당시 상태' 항목으로 단일 값이 노출됨을 확인(#86 실측).
86,6-8,통과,2순위,기록 카드 클릭 시 상세 이동,6-8 진입 상태,1. 기록 카드 1개 클릭,해당 기록의 상세페이지 화면으로 정확히 이동한다,실측 결과 목록의 기록 행 클릭 시 해당 기록의 상세페이지(/records/tr_...)로 정확히 이동하며 구분/종목/시장/가격/수량/일자/판단근거/당시상태가 모두 정상 노출됨을 확인.
88,플로우,통과,1순위,6-1 ↔ 6-2 실시간 전환 (플로우 크로스체크),"전체 매매기록 0건에서 1건으로, 혹은 그 역방향 상태 변화가 가능한 환경","1. 0건→1건 전환 확인(6-2→6-1)
2. (해당된다면) 마지막 기록 삭제 시 1건→0건 전환도 확인",기록 0건/1건 이상 전환이 실시간으로 정확히 반영된다,#36에서 이미 실사 확인됨: 기록 0건→1건 전환이 클라이언트 라우팅으로 실시간 반영됨.
89,플로우,실패,1순위,6-3 → 6-4/6-5 전환 (플로우 크로스체크),"6-3 조건(0<매수<3, 0<매도<3)을 만족하는 상태","1. 매수 또는 매도 중 한쪽의 카드가 처음 발행되도록 기록 추가
2. 경향해석 탭 재확인",카드가 처음 발행되는 순간 정확한 화면(6-4 또는 6-5)으로 전환된다,"카드가 처음 발행되는 순간 정책안내박스가 사라지고 카드가 노출되는 전환 자체는 실시간으로 일어남을 확인(최초 매수 카드 발행 시). 다만 이는 '6-3'과 '6-4/6-5'라는 서로 다른 화면 간 전환이 아니라, 동일한 단일 피드 내에서 카드 유무만 바뀌는 것으로, 스펙이 전제하는 이산적 화면 전환 구조 자체가 실제 구현과 다름(핵심 구조적 불일치, #47과 동일한 근거)."
90,플로우,실패,1순위,날짜그룹 CTA → 6-7 전달 파라미터 (플로우 크로스체크),6-4/6-5/6-6 중 하나에 날짜그룹 존재,1. 각 화면에서 '이 날짜의 카드 전체보기' 클릭,클릭한 날짜그룹의 날짜가 6-7에 정확히 전달된다,'이 날짜의 카드 전체보기' CTA 자체가 존재하지 않아 파라미터 전달 여부를 검증할 수 없음.
91,플로우,실패,1순위,6-7 → 6-8 이동 (플로우 크로스체크),6-7 진입 상태,"1. ""관련 기록 N건→"" 클릭",6-8로 정확히 이동한다,6-7 화면이 없어 '6-7→6-8' 전환 자체가 존재하지 않음. 다만 동일 기능을 하는 메인 피드 카드→관련 기록 화면 전환은 정상 동작함을 재확인.
92,플로우,통과,1순위,6-8 → 기록 상세페이지 이동 (플로우 크로스체크),6-8 진입 상태,1. 기록 카드 클릭,해당 기록 상세페이지로 정상 이동한다,#86과 동일 실측으로 확인됨: 관련 기록 목록에서 행 클릭 시 해당 기록 상세페이지로 정상 이동.
93,플로우,실패,1순위,인사이트 CTA → 매매기록 플로우 진입점 일치 (플로우 크로스체크),"6-1, 6-2, 6-3 각각 진입 가능한 상태","1. 6-1(있다면), 6-2, 6-3의 하단 CTA를 각각 클릭","모든 CTA가 매매 기록 플로우 시작 화면(4-1.a, 매수/매도 분리 플로우 진입점)과 정확히 연결된다","6-1/6-2/6-3 어디에도 매매 기록 플로우로 연결되는 CTA 버튼 자체가 존재하지 않음(#35, #44에서 이미 확인). CTA가 없으므로 진입점 일치 여부 자체를 확인할 수 없음."
94,정책로직,보류,1순위,매수/매도 카운트 완전 분리 검증,"매수 기록 2건, 매도 기록 5건 보유 상태","1. 매도 기록을 6건째로 추가한다
2. 매수 트랙의 발행 트리거/카운트 상태를 확인한다
3. 매도 트랙의 발행 트리거/카운트 상태를 확인한다",매도 기록 추가가 매수 트랙의 카운트·발행 트리거·분석 대상에 전혀 영향을 주지 않는다(매수는 여전히 2건). 매도는 6건째로 3-1(집계)→3-2(판정)가 재실행된다.,
95,정책로직,보류,1순위,최초 발행 - 3건 미만 무노출,매수(또는 매도) 기록 0건,"1. 첫 번째 기록을 추가하고 화면을 확인한다
2. 두 번째 기록을 추가하고 화면을 확인한다","기록이 3건 미만인 동안에는 3-1/3-2 로직이 실행되지 않으며, 카드·실패 메시지·플레이스홀더 무엇도 노출되지 않는다.",
96,정책로직,보류,1순위,최초 발행 - 조건 불만족 시 조용한 대기,"매수(또는 매도) 기록 3건, 표본수·비율 조건을 만족하는 조합 없음","1. 3건째 기록을 추가한다
2. 인사이트 관련 화면들을 확인한다","3-1→3-2가 재실행되지만 조건 불만족이므로 3-3(카피 변환)으로 넘어가지 않고, 실패 메시지나 플레이스홀더 카드 없이 아무것도 노출되지 않은 채 다음 기록을 기다린다.",
97,정책로직,보류,1순위,최초 발행 성공 케이스,"매수(또는 매도) 기록 3건, 그중 조건(표본수&비율)을 만족하는 당시상태+판단근거 조합 존재","1. 3건째 기록을 추가한다
2. 카드 발행 여부를 확인한다",3-3(카피 변환)까지 진행되어 사용자에게 카드가 노출된다.,
98,정책로직,보류,2순위,재발행 최소 간격 - 3건 경과 전 재시도 없음,특정 유형의 최초(또는 직전) 노출이 7건째에 발생,"1. 8건째 기록을 추가하고 재집계 여부를 확인한다
2. 9건째 기록을 추가하고 재집계 여부를 확인한다","직전 노출(7건째) 이후 3건이 채 쌓이지 않은 8, 9건째에는 3-1/3-2 재실행 자체가 일어나지 않는다. 10건째부터 재시도 가능해야 한다.",
99,정책로직,보류,1순위,재발행 - 3건 경과 후 매 건 재시도,"직전 노출 7건째, 10건째에 조건 불만족","1. 10건째 기록에서 조건 불만족을 확인한다
2. 11건째 기록을 추가한다","10건째에서 조건을 만족하지 못해도 포기하지 않고, 11건째부터는 매 신규 기록마다 3-1→3-2가 재실행되어야 한다.",
100,정책로직,보류,1순위,재발행 성공 시 새 기준점 설정,10건 경과 시점 이후 특정 건(예: 12건째)에서 조건 만족,"1. 12건째에 카드가 노출되는지 확인한다
2. 13, 14건째 기록을 추가하며 재시도 여부를 확인한다","12건째가 새로운 기준점이 되어, 13·14건째(3건 경과 전)에는 재시도가 일어나지 않고 15건째부터 다시 재시도 가능해야 한다.",
101,정책로직,보류,1순위,분석 윈도우 - 최근 10건 제한,특정 유형 기록 15건 누적,1. 발행 시점의 집계 대상 기록 범위를 확인한다,"발행 시점 기준 해당 유형의 최근 10건만 집계 대상이 되고, 11번째 이전 기록은 집계에서 제외된다.",
102,정책로직,보류,1순위,분석 윈도우 - 10건 미만 시 전체 사용,특정 유형 기록 5건 누적,1. 집계 대상 기록 범위를 확인한다,누적 건수가 10건 미만이므로 전체 5건이 집계 대상으로 사용된다.,
103,정책로직,보류,2순위,"""다른 데 돈이 필요했다"" 집계 제외 검증(분모 포함)","매도 기록 10건 중 3건이 ""다른 데 돈이 필요했다"" 당시상태",1. 표본수(N) 및 비율 계산 결과를 확인한다,"통계 계산에서 해당 3건이 완전히 제외되며, 표본수(N) 산정 시 분모(전체 건수)에서도 제외되어 실질 7건 기준으로 계산된다.",
104,정책로직,보류,2순위,중립 태그 정식 집계 대상 확인,"매수 기록 다수 중 ""계획대로여서 특별한 느낌은 없었다""(중립) 태그가 다수",1. 중립 태그의 등장 비율 계산 결과를 확인한다,"중립도 다른 감정 계열 태그와 동일한 방식으로 집계되며, 우세할 경우 ""계획대로 흔들림 없이 매매하고 있다""류 카드로 발행될 수 있다.",
105,정책로직,보류,1순위,비율 조건 경계값 - 표본 3~5건 50% 기준,"표본수 N=4, 윈도우 전체 8건(비율 정확히 50%)","1. 후보 판정 결과를 확인한다
2. 비율을 49.9%로 낮춘 케이스와 비교한다","정확히 50%는 조건을 충족(이상 포함)하고, 50% 미만은 불충족 처리된다.",
106,정책로직,보류,1순위,비율 조건 경계값 - 표본 6건 이상 40% 기준,"표본수 N=6, 윈도우 전체 15건(비율 40%)","1. N=6, 비율 40% 케이스의 판정 결과를 확인한다
2. N=5, 비율 40% 케이스와 비교해 기준 전환(50%→40%)이 정확히 6건에서 일어나는지 확인한다","N=6부터는 40% 기준이 적용되어 통과하고, N=5에서는 동일 비율(40%)이어도 50% 기준 미달로 불통과해야 한다.",
107,정책로직,보류,1순위,소분류 만족 시 대분류 후보 배제 (후보 풀 구성),"동일한 (당시상태 태그, 판단근거 대분류 그룹)에서 소분류 기준도 만족, 대분류 기준도 만족하는 상황",1. 후보 풀 구성 결과를 확인한다,소분류 기준이 이미 조건을 만족했으므로 동일 대분류의 후보는 후보 풀에 애초 추가되지 않는다. 즉 이 쌍에서는 소분류·대분류 후보가 동시에 top-2 경쟁에 들어가지 않는다.,
108,정책로직,보류,2순위,대분류만 만족 시 노출 문구 처리,"소분류 기준은 불만족, 대분류 기준만 만족",1. narrative1 생성 결과를 확인한다,"대분류명을 문장에 그대로 쓰지 않고, 실제 포함된 소분류들을 자연스럽게 풀어 쓴 문장으로 노출된다.",
109,정책로직,보류,1순위,Confidence Score 가중치 검증 (소분류 1.5 vs 대분류 1.0),"소분류 후보(N=5, 비율 62.5%)와 대분류 후보가 각각 계산 가능한 상황",1. 두 후보의 score 계산값을 비교한다(score = N × 비율 × 가중치),"소분류 매치는 가중치 1.5, 대분류 매치는 가중치 1.0이 적용되어 계산되고, 동시 충족 상황에서는 소분류 결과가 항상 우선 채택된다.",
110,정책로직,보류,1순위,동일 당시상태·다른 판단근거 조합 독립 유지(병합 금지),"같은 당시상태 태그가 판단근거 소분류A, 소분류B 조합에서 각각 조건 만족","1. 후보 풀 목록을 확인한다
2. 최종 발행 카드 2장의 내용을 비교한다","두 조합이 병합되지 않고 각각 독립된 후보로 후보 풀에 포함되며, 최종 발행 카드 2개가 같은 당시상태·다른 판단근거 조합으로 나올 수 있다.",
111,정책로직,보류,1순위,발행 개수 제한 - 후보(조합) 단위 top2,조건을 만족하는 후보(조합)가 3개 이상 존재,1. 최종 발행되는 카드 수를 확인한다,"confidence score 상위 최대 2개까지만 발행되며, 이 제한은 당시상태 태그 단위가 아니라 후보(조합) 단위로 적용된다.",
112,정책로직,보류,1순위,카드 저장 방식 - insert only (수정 불가),"기존 발행 카드 존재, 동일한 당시상태+판단근거 조합이 재선정됨",1. 재발행 시점의 카드 데이터 변화를 확인한다,기존 카드가 수정(update)되지 않고 항상 새 레코드로 추가(insert)되어 발행 히스토리가 누적된다. 완전히 동일한 조합이 재선정되어도 병합되지 않는다.,
113,정책로직,보류,1순위,기록 삭제가 기발행 카드에 영향 없음 (스냅샷 고정),"카드 발행 완료 후, 발행에 사용된 원본 매매 기록이 존재","1. 원본 기록을 삭제한다
2. 기존에 발행된 카드를 다시 확인한다","기록 수정은 불가하고 삭제만 가능하며, 삭제해도 이미 발행된 카드는 수정·무효화되지 않고 발행 시점의 스냅샷 그대로 유지된다.",
114,정책로직,보류,2순위,삭제 영향의 반영 시점,원본 기록 삭제 이후 상태,"1. 신규 기록을 추가해 재집계를 유발한다
2. 해당 조합이 조건을 더 이상 만족하지 못하는 경우 재발행 여부를 확인한다","삭제의 영향은 다음 신규 기록이 들어와 재집계될 때부터 반영된다. 해당 조합이 더 이상 조건을 만족하지 못하면 그 이후로는 재발행되지 않을 뿐, 기존 발행된 카드는 그대로 남는다.",
115,정책로직,보류,1순위,narrative1 톤·금칙어·필수어미 검증,narrative1 생성 완료,1. 생성된 narrative1 문장을 확인한다,"내부 태그명이 전체든 부분이든 노출되지 않고, ""충동적으로/성급하게/실수로"" 등 평가성 부사·형용사가 없으며, 문장이 지정된 필수 어미로 끝난다.",
116,정책로직,보류,2순위,narrative1 실패 시 재시도·대체발행,narrative1 API 호출 실패(타임아웃/5xx/rate limit) 또는 출력 검증 실패 상황(실제 재현은 백엔드 로그·모킹 확인이 필요),"1. 동일 프롬프트로 최대 2회까지 재시도되는지 확인한다
2. 재시도까지 모두 실패한 경우의 결과를 확인한다","최대 2회 재시도 후에도 실패하면, 당시상태 매핑 문장(3-3-2)의 어미만 필수 어미로 교체해 대체 발행한다(판단근거 언급 없이 당시상태 관찰만 노출). 카드 발행 자체는 막히지 않는다.",
117,정책로직,보류,1순위,"narrative2 - narrative1 문구 반복 금지, 다른 각도 서술","narrative1, narrative2 생성 완료",1. narrative1과 narrative2 문장을 비교한다,"narrative2는 narrative1에 이미 나온 판단근거 문구를 그대로 반복하지 않고, 그 판단근거와 함께 반복된 상황·심리를 다른 각도(반복빈도·행동경향 등)로 자연스럽게 풀어 설명한다.",
118,정책로직,보류,2순위,narrative2 실패 시 재시도·대체발행,narrative2 API/검증 실패 상황(재현 방법 확인 필요),"1. 최대 2회 재시도 여부를 확인한다
2. 재시도까지 실패한 경우의 대체발행 결과를 확인한다",재시도까지 실패하면 narrative1의 당시상태에 해당하는 3-3-2 매핑 테이블 고정 문장에서 어미만 확신도 어미(3-3-4)로 교체해 대체 발행한다.,
119,정책로직,보류,2순위,확신도 어미 - 표본수별 분기 검증,표본 3~5건 케이스와 6건 이상 케이스 각각 발행됨,"1. 표본 3~5건 카드의 문장 어미를 확인한다
2. 표본 6건 이상 카드의 문장 어미를 확인한다","3~5건은 ""~한 경향이 보여요"", 6건 이상은 ""~한 패턴이 반복되고 있어요""로 정확히 분기되어 노출된다.",
