번호,화면,상태,우선순위,시나리오,사전조건,수행단계,기대결과,실제결과
67,1-3a,보류,2순위,이메일 형식이 RFC 규칙에 맞지 않으면(예: '@' 누락) '이메일이 올바르지 않습니다'가 노출된다,이메일 회원가입에서 형식에 맞지 않는 값 입력,1-3에서 '@' 없는 이메일 입력 → 에러 문구 확인,이메일 형식이 RFC 규칙에 맞지 않으면(예: '@' 누락) '이메일이 올바르지 않습니다'가 노출된다,이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
68,1-3a,보류,2순위,"비밀번호 규칙 미충족 시 '영문/숫자/특수문자(공백 제외)만 허용하며, 2개 이상 조합, 10자 이상' 문구가 노출된다",이메일 회원가입에서 형식에 맞지 않는 값 입력,1-3에서 규칙에 안 맞는 비밀번호 입력 → 에러 문구 확인,"비밀번호 규칙 미충족 시 '영문/숫자/특수문자(공백 제외)만 허용하며, 2개 이상 조합, 10자 이상' 문구가 노출된다",이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
69,1-3a,보류,2순위,이메일·비밀번호가 동시에 유효성 실패인 경우 두 에러가 동시에 노출된다,이메일 회원가입에서 형식에 맞지 않는 값 입력,1-3에서 이메일·비밀번호 둘 다 잘못 입력 → 에러 동시 노출 확인,이메일·비밀번호가 동시에 유효성 실패인 경우 두 에러가 동시에 노출된다,이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
70,1-3a,보류,2순위,"값이 바뀔 때마다 실시간으로 재검증되어, 규칙을 만족하는 즉시 해당 필드의 에러가 해제된다",이메일 회원가입에서 형식에 맞지 않는 값 입력,1-3에서 에러 유발 후 값 수정하며 실시간 에러 해제 확인,"값이 바뀔 때마다 실시간으로 재검증되어, 규칙을 만족하는 즉시 해당 필드의 에러가 해제된다",이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
71,1-3b,보류,2순위,서버에 이미 등록된 이메일로 가입 시도 시 '이미 가입된 이메일입니다'가 노출된다 ('가입하기' 탭 또는 이메일 블러 시점에 서버 중복 조회),이메일 회원가입에서 이미 가입된 이메일 입력,1-3에서 이미 가입된 이메일 입력 → 중복 안내 문구 확인,서버에 이미 등록된 이메일로 가입 시도 시 '이미 가입된 이메일입니다'가 노출된다 ('가입하기' 탭 또는 이메일 블러 시점에 서버 중복 조회),이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
72,1-3b,보류,2순위,소셜 가입 이메일과 동일한 이메일로 이메일 가입을 시도하면 '카카오로 가입된 이메일입니다'처럼 구체적인 문구로 교체되어 노출된다,이메일 회원가입에서 이미 가입된 이메일 입력,1-3에서 카카오 가입 이메일과 동일한 이메일 입력 → 안내 문구 확인,소셜 가입 이메일과 동일한 이메일로 이메일 가입을 시도하면 '카카오로 가입된 이메일입니다'처럼 구체적인 문구로 교체되어 노출된다,이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
73,1-3c,보류,2순위,비밀번호 확인 값이 비밀번호와 다르면 '비밀번호가 일치하지 않습니다. 다시 확인해주세요'가 노출된다,비밀번호 확인 값이 다르게 입력됨,1-3에서 비밀번호와 다른 확인값 입력 → 불일치 문구 확인,비밀번호 확인 값이 비밀번호와 다르면 '비밀번호가 일치하지 않습니다. 다시 확인해주세요'가 노출된다,이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
74,1-3c,보류,2순위,"재입력 시 두 값이 일치하는 순간 에러가 즉시 해제되며, 비교는 대소문자 구분 완전일치로 이루어진다",비밀번호 확인 값이 다르게 입력됨,1-3에서 두 값을 일치시키며 에러 해제 시점·대소문자 구분 확인,"재입력 시 두 값이 일치하는 순간 에러가 즉시 해제되며, 비교는 대소문자 구분 완전일치로 이루어진다",이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
75,1-3c,보류,2순위,"비밀번호 필드를 나중에 수정해 확인 필드와 다시 어긋나는 경우, 그 시점에 다시 에러가 노출(재검증)된다",비밀번호 확인 값이 다르게 입력됨,1-3에서 비밀번호를 나중에 수정 → 확인 필드 재검증 여부 확인,"비밀번호 필드를 나중에 수정해 확인 필드와 다시 어긋나는 경우, 그 시점에 다시 에러가 노출(재검증)된다",이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
76,1-3d,보류,2순위,"닉네임이 2자 미만이거나 10자를 초과하면 '닉네임은 2자 이상, 10자 이내로 입력해 주세요'가 노출되고 필드 테두리·카운트 텍스트가 빨간색으로 전환된다",닉네임이 규칙에 맞지 않게 입력됨,1-3에서 1자/11자 닉네임 입력 → 에러 문구·색상 변화 확인,"닉네임이 2자 미만이거나 10자를 초과하면 '닉네임은 2자 이상, 10자 이내로 입력해 주세요'가 노출되고 필드 테두리·카운트 텍스트가 빨간색으로 전환된다",이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
77,1-3d,보류,2순위,재입력으로 2자 이상 10자 이하가 되는 즉시 에러가 해제된다,닉네임이 규칙에 맞지 않게 입력됨,1-3에서 닉네임을 2~10자로 재입력 → 에러 해제 확인,재입력으로 2자 이상 10자 이하가 되는 즉시 에러가 해제된다,이메일 회원가입 화면 자체가 없어 하위 예외 화면도 존재하지 않음
78,1-4,보류,1순위,카카오로 계속하기 후 OAuth 진행 결과 회원 ID가 기존 가입 회원 ID와 불일치(신규)일 경우에만 노출된다,'카카오로 시작하기' 선택 후 신규 계정으로 판별됨,1-2에서 카카오/구글 신규 회원 ID로 진행 → 1-4 노출 확인,카카오·구글로 계속하기 후 OAuth 진행 결과 회원 ID가 기존 가입 회원 ID와 불일치(신규)일 경우에만 노출된다,카카오 로그인 개발 진행 중
79,1-4,보류,1순위,"닉네임 필드만 필수이며, 최소 2자 최대 10자, 중복은 허용된다",'카카오로 시작하기' 선택 후 신규 계정으로 판별됨,1-4 닉네임 필드에 1자/2자/10자/11자 입력해 유효성 확인,"닉네임 필드만 필수이며, 최소 2자 최대 10자, 중복은 허용된다",카카오 로그인 개발 진행 중
80,1-4,보류,1순위,'가입하기' CTA 클릭 시 1-5 약관 동의 화면으로 이동한다,'카카오로 시작하기' 선택 후 신규 계정으로 판별됨,1-4에서 '가입하기' 클릭 → 1-5 이동 확인,'가입하기' CTA 클릭 시 1-5 약관 동의 화면으로 이동한다,카카오 로그인 개발 진행 중
81,1-4a,보류,2순위,"닉네임 필드 입력/블러 시점에 유효성 검사 실패 시(최소 2자, 최대 10자 미충족) 노출되며, 에러 메시지·규칙이 1-3d와 동일하다",소셜 회원가입에서 규칙에 맞지 않는 닉네임 입력,1-4에서 규칙에 안 맞는 닉네임 입력 → 1-3d와 동일 에러 확인,"닉네임 필드 입력/블러 시점에 유효성 검사 실패 시(최소 2자, 최대 10자 미충족) 노출되며, 에러 메시지·규칙이 1-3d와 동일하다",카카오 로그인 개발 진행 중
82,1-5,보류,1순위,이메일 회원가입 1-3 '가입하기' 클릭 시 또는 소셜 회원가입 1-4 '가입하기' 클릭 시에만 노출된다,이메일 또는 소셜 회원가입에서 '가입하기' 클릭 완료,1-3·1-4 각각에서 '가입하기' 클릭 → 1-5 노출 확인,이메일 회원가입 1-3 '가입하기' 클릭 시 또는 소셜 회원가입 1-4 '가입하기' 클릭 시에만 노출된다,약관 동의 화면이 따로 존재하지 않고 '카카오로 시작하기'와 한 화면(/login)에 합쳐져 있음
83,1-5,성공,2순위,"'전체 동의' 체크 시 하위 필수 항목 3개가 모두 체크/해제와 연동되고, 하위 항목을 개별 해제하면 전체 동의는 자동 해제된다",이메일 또는 소셜 회원가입에서 '가입하기' 클릭 완료,"1-5에서 전체동의 체크/해제, 하위 항목 개별 해제하며 연동 확인","'전체 동의' 체크 시 하위 필수 항목 3개가 모두 체크/해제와 연동되고, 하위 항목을 개별 해제하면 전체 동의는 자동 해제된다",
84,1-5,성공,2순위,'전체 동의'는 별도 저장되는 데이터가 아니라 필수 항목 3개가 모두 true인지에 따른 UI 파생 상태값이다,이메일 또는 소셜 회원가입에서 '가입하기' 클릭 완료,1-5에서 하위 항목 체크 상태 조합별 전체동의 표시값 확인,'전체 동의'는 별도 저장되는 데이터가 아니라 필수 항목 3개가 모두 true인지에 따른 UI 파생 상태값이다,
85,1-5,실패,1순위,'보기' 탭 클릭 시 서비스 이용약관/개인정보 처리방침/만 14세 확인 각각의 노션 URL이 새 탭으로 정상 연결된다,이메일 또는 소셜 회원가입에서 '가입하기' 클릭 완료,1-5에서 약관 3종 '보기' 각각 클릭 → 새 탭 연결 확인,'보기' 탭 클릭 시 서비스 이용약관/개인정보 처리방침/만 14세 확인 각각의 노션 URL이 새 탭으로 정상 연결된다,"  • 만 14세 이상 이용 약관 ‘보기’ 없음
  • ‘보기’ 클릭 시 노션 URL로 연결되지 않고 팝업이 뜸 (스펙에 없음)"
86,1-5,보류,2순위,"약관 상세 페이지 로딩에 실패하면 에러 토스트가 노출되고, 체크 상태는 그대로 유지된다",이메일 또는 소셜 회원가입에서 '가입하기' 클릭 완료,약관 URL을 임의로 막은 뒤 '보기' 클릭 → 에러 토스트 확인,"약관 상세 페이지 로딩에 실패하면 에러 토스트가 노출되고, 체크 상태는 그대로 유지된다",약관 상세 페이지 URL로 넘어가지 않아 확인 불가
87,1-5,실패,1순위,"'동의하고 계속하기' CTA는 필수 항목 3개가 모두 체크되어야 활성화되며, 그 전까지는 비활성(회색) 상태다",이메일 또는 소셜 회원가입에서 '가입하기' 클릭 완료,1-5에서 체크 0~3개 상태별 CTA 활성/비활성 확인,"'동의하고 계속하기' CTA는 필수 항목 3개가 모두 체크되어야 활성화되며, 그 전까지는 비활성(회색) 상태다","  • 별도의 약관 동의 화면 내 ‘동의하고 계속하기’ 버튼이 아닌 ‘카카오로 시작하기’, ‘카카오 없이 둘러보기’ 버튼만 존재
  • 체크박스 0개 상태에서도 '카카오로 시작하기' 버튼 및 ‘카카오 없이 둘러보기’ 버튼은 활성 상태 → 클릭하여도 동작하진 않음"
88,1-5,보류,1순위,CTA 클릭 시 가입이 완료되고 로그인 처리되어 2.1 홈으로 이동한다,이메일 또는 소셜 회원가입에서 '가입하기' 클릭 완료,1-5에서 CTA 클릭 → 가입 완료·로그인 처리·홈 이동 확인,CTA 클릭 시 가입이 완료되고 로그인 처리되어 2.1 홈으로 이동한다,카카오 로그인은 개발 진행 중이며 이메일 로그인은 화면이 구현되지 않아 확인 불가
89,1-5,보류,1순위,동의 시점의 약관 버전과 동의 일시가 서버에 저장된다,이메일 또는 소셜 회원가입에서 '가입하기' 클릭 완료,가입 완료 후 서버/DB에 약관 버전·동의 일시 기록 확인,동의 시점의 약관 버전과 동의 일시가 서버에 저장된다 (법적 근거 자료로서 중요),카카오 로그인은 개발 진행 중이며 이메일 로그인은 화면이 구현되지 않아 확인 불가
91,1-5,보류,2순위,뒤로가기 후 재진입 시 이전에 체크했던 상태가 그대로 유지된다,이메일 또는 소셜 회원가입에서 '가입하기' 클릭 완료,1-5 일부 체크 후 뒤로가기·재진입 → 체크 상태 유지 확인,뒤로가기 후 재진입 시 이전에 체크했던 상태가 그대로 유지된다,카카오 로그인은 개발 진행 중이며 이메일 로그인은 화면이 구현되지 않아 확인 불가
